"","title","author","subject","abstract","meta"
"11","A Miniaturized Device for Ultrafast On-demand Drug Release based on a Gigahertz Ultrasonic Resonator","Yangchao Zhou, Moonkwang Jeong, Meng Zhang, Xuexin Duan, Tian Qiu","Robotics (cs.RO)","On-demand controlled drug delivery is essential for the treatment of a wide range of chronic diseases. As the drug is released at the time when required, its efficacy is boosted and the side effects are minimized. However, so far, drug delivery devices often rely on the passive diffusion process for a sustained release, which is slow and uncontrollable. Here, we present a miniaturized microfluidic device for wirelessly controlled ultrafast active drug delivery, driven by an oscillating solid-liquid interface. The oscillation generates acoustic streaming in the drug reservoir, which opens an elastic valve to deliver the drug. High-speed microscopy reveals the fast response of the valve on the order of 1 ms, which is more than three orders of magnitude faster than the start-of-the-art. The amount of the released drug exhibits a linear relationship with the working time and the electric power applied to the ultrasonic resonator. The trigger of the release is wirelessly controlled via a magnetic field, and the system shows stable output in a continuous experiment for two weeks. The integrated system shows great promise as a long-term controlled drug delivery implant for chronic diseases.","Tue, 5 Mar 2024 12:34:36 UTC (7,878 KB)"
"12","Unlocking Electro-optic Resonant Phase Shifting for Multi-dimensional, Ultra-dynamic Photonic Switches","Lingzhi Luo, Rui Ma, Richard V. Penty, Qixiang Cheng","Optics (physics.optics)","Optical circuit switching is connection-oriented, being deterministic through the reservation of a complete wavelength channel or spatial path for a certain period. However, this comes at a trade-off against link dynamics, and overall capacity can thus be constrained by the time slot reservations, especially for switches with microsecond- to millisecond-scale reconfiguration times. For data-intensive applications, the communication patterns associated with random data sets typically yield short-lived flows. This situation calls for a new multi-dimensional switching paradigm that fully exploits not only the space and wavelength domains but also with nanosecond-scale reconfigurable capability in the time domain to enable ultra-dynamic links. In this work, we focus on the exploitation of micro-ring resonant phase shifters (RPSs) that are wavelength selective for optical switching in a single plane. By proposing an innovative analytical method with transmission circle chart, we fully unlock the power of RPS with nanosecond-scale reconfigurability and the capability to arbitrarily manipulate its phase and amplitude. Such a compact model offers fresh insights into designs with under and critically coupled RPSs beyond the commonly explored over-coupling condition. This creates not only versatile switch elements but also perfect absorbers for robust multi-wavelength operations. The proposed device can bring about a breakthrough in the optical switching capacity that potentially addresses the challenges faced by modern data center networks, as well as other photonic circuits for high-throughput signal processing.","Tue, 5 Mar 2024 11:19:43 UTC (1,603 KB)"
"13","SCINE -- Software for Chemical Interaction Networks","Thomas Weymuth, Jan P. Unsleber, Paul L. Tuertscher, Miguel Steiner, Maximilian Moerchen, Veronika Klasovita, Marco Eckhoff, Moritz Bensberg, Markus Reiher","Chemical Physics (physics.chem-ph)","The software for chemical interaction networks (SCINE) project aims at pushing the frontier of quantum chemical calculations on molecular structures to a new level. While calculations on individual structures as well as on simple relations between them (\textit{e.g.}, as given by an intrinsic reaction coordinate) have become routine in chemistry, new developments have pushed the frontier in the field to high-throughput calculations. Chemical relations may be created by a search for specific molecular properties in a molecular design attempt or they can be defined by a set of elementary reaction steps that form a chemical reaction network. The software modules of SCINE have been designed to facilitate such studies. The features of the modules are (i) general applicability of the applied methodologies ranging from electronic structure (no restriction to specific elements of the periodic table) to microkinetic modeling (with little restrictions on molecularity), full modularity so that SCINE modules can also be applied as stand-alone programs or be exchanged for external software packages that fulfill a similar purpose (to increase options for computational campaigns and to provide alternatives in case of tasks that are hard or impossible to accomplish with certain programs), (ii) high stability and autonomous operations so that control and steering by an operator is as easy as possible, and (iii) easy embedding into complex heterogeneous environments for molecular structures taken individually or in the context of a reaction network. A graphical user interface unites all modules and ensures interoperability. All components of the software have been made available open source and free of charge.","Tue, 5 Mar 2024 11:18:06 UTC (563 KB)"
"14","Spintronic Implementation of UNet for Image Segmentation","Venkatesh Vadde, Bhaskaran Muralidharan, Abhishek Sharma","Emerging Technologies (cs.ET)","Image segmentation plays a crucial role in computer vision applications like self-driving cars, satellite imagery analysis, and medical diagnosis. Implementing these complex deep neural networks on conventional hardware is highly inefficient. In this work, we propose hardware implementation of UNet for segmentation tasks, using spintronic devices. Our approach involves designing hardware for convolution, deconvolution, ReLU, and max pooling layers of the UNet architecture. We demonstrate the synaptic behavior of the domain wall MTJ, and design convolution and deconvolution layers using the domain wall-based crossbar array. We utilize the orthogonal current injected MTJ with its continuous resistance change and showcase the ReLU and max pooling functions. We employ a hybrid simulation setup by coupling micromagnetic simulation, non-equilibrium Green's function, Landau-Lifshitz-Gilbert-Slonczewski equations, and circuit simulation with Python programming to incorporate the diverse physics of spin-transport, magnetization dynamics, and CMOS elements in our proposed designs. We evaluate our UNet design on the CamVid dataset and achieve segmentation accuracies that are comparable to software implementation. During training, our design consumes 43.59pJ of energy for synaptic weight updates.","Tue, 5 Mar 2024 11:13:04 UTC (4,361 KB)"
"15","A pH Sensor Scaffold for Mapping Spatiotemporal Gradients in Three Dimensional In Vitro Tumour Models","Riccardo Rizzo, Valentina Onesto, Stefania Forciniti, Anil Chandra, Saumya Prasad, Helena Iuele, Francesco Colella, Giuseppe Gigli, Loretta L. del Mercato","Biological Physics (physics.bio-ph)","The detection of extracellular pH at single cell resolution is challenging and requires advanced sensibility. Sensing pH at a high spatial and temporal resolution might provide crucial information in understanding the role of pH and its fluctuations in a wide range of physio-pathological cellular processes, including cancer. Here, a method to embed silica-based fluorescent pH sensors into alginate-based three-dimensional (3D) microgels tumour models, coupled with a computational method for fine data analysis, is presented. By means of confocal laser scanning microscopy, live-cell time-lapse imaging of 3D alginate microgels was performed and the extracellular pH metabolic variations were monitored in both in vitro 3D mono- and 3D co-cultures of tumour and stromal pancreatic cells. The results show that the extracellular pH is cell line-specific and time-dependent. Moreover, differences in pH were also detected between 3D monocultures versus 3D co-cultures, thus suggesting the existence of a metabolic crosstalk between tumour and stromal cells. In conclusion, the system has the potential to image multiple live cells types in a 3D environment and to decipher in real-time their pH metabolic interplay under controlled experimental conditions, thus being also a suitable platform for drug screening and personalized medicine.","Tue, 5 Mar 2024 10:20:32 UTC (1,735 KB)"
"16","Targeted optimization in small-scale atomic structure calculations: application to Au I","Sema Caliskan, Jon Grumer, Anish M. Amarsi","Atomic Physics (physics.atom-ph)","The lack of reliable atomic data can be a severe limitation in astrophysical modelling, in particular of events such as kilonovae that require information on all neutron-capture elements across a wide range of ionization stages. Notably, the presence of non-orthonormalities between electron orbitals representing configurations that are close in energy can introduce significant inaccuracies in computed energies and transition probabilities. Here, we propose an explicit targeted optimization method that can effectively circumvent this concern while retaining an orthonormal orbital basis set. We illustrate this method within the framework of small-scale atomic structure models of Au I, using the GRASP2018 multiconfigurational Dirac-Hartree-Fock atomic structure code. By comparing to conventional optimization schemes we show how a targeted optimization approach improves the energy level positioning and ordering. Targeted optimization also leads to better agreement with experimental data for the strongest E1 transitions. This illustrates how small-scale models can be significantly improved with minor computational costs if orbital non-orthonormalities are considered carefully. These results should prove useful to multi-element atomic structure calculations in, for example, astrophysical opacity applications involving neutron-capture elements.","Tue, 5 Mar 2024 10:01:18 UTC (97 KB)"
"17","Fluorescent nano- and microparticles for sensing cellular microenvironment: past, present and future applications","Giuliana Grasso, Francesco Colella, Stefania Forciniti, Valentina Onesto, Helena Iuele, Anna Chiara Siciliano, Federica Carnevali, Anil Chandra, Giuseppe Gigli, Loretta L. del Mercato","Applied Physics (physics.app-ph)","The tumor microenvironment (TME) features distinct hallmarks, including acidosis, hypoxia, reactive oxygen species (ROS) generation, and altered ion fluxes, which are crucial targets for early cancer biomarker detection, tumor diagnosis, and therapeutic strategies. A variety of imaging and sensing techniques have been developed and employed in both research and clinical settings to visualize and monitor cellular and TME dynamics. Among these, ratiometric fluorescence-based sensors have emerged as powerful analytical tools, providing precise and sensitive insights into the TME and enabling real-time detection and tracking of dynamic changes. In this comprehensive review, we discuss the latest advancements in ratiometric fluorescent probes designed for optical mapping of pH, oxygen, ROS, ions, and biomarkers within the TME. We elucidate their structural designs and sensing mechanisms, as well as their applications in in vitro and in vivo detection. Furthermore, we explore integrated sensing platforms that reveal the spatiotemporal behavior of complex tumor cultures, highlighting the potential of high-resolution imaging techniques combined with computational methods. This review aims to provide a solid foundation for understanding the current state of the art and the future potential of fluorescent nano- and microparticles in the field of cellular microenvironment sensing.","Tue, 5 Mar 2024 09:51:14 UTC (1,779 KB)"
"18","Highly Reproducible and CMOS-compatible VO2-based Oscillators for Brain-inspired Computing","Olivier Maher, Roy Bernini, Nele Harnack, Bernd Gotsmann, Marilyne Sousa, Valeria Bragaglia, Siegfried Karg","Applied Physics (physics.app-ph)","With remarkable electrical and optical switching properties induced at low power and near room temperature (68C), vanadium dioxide (VO2) has sparked rising interest in unconventional computing among the phase-change materials research community. The scalability and the potential to compute beyond the von Neumann model make VO2 especially appealing for implementation in oscillating neural networks for artificial intelligence (AI) applications, to solve constraint satisfaction problems, and for pattern recognition. Its integration into large networks of oscillators on a Silicon platform still poses challenges associated with the stabilization in the correct oxidation state and the ability to fabricate a structure with predictable electrical behavior showing very low variability. In this work, the role played by the different annealing parameters applied by three methods (slow thermal annealing, flash annealing, and rapid thermal annealing), following the vanadium oxide atomic layer deposition (ALD), on the formation of VO2 grains is studied and an optimal substrate stack configuration that minimizes variability between devices is proposed. Material and electrical characterizations are performed on the different films and a step-by-step recipe to build reproducible VO2-based oscillators is presented, which is argued to be made possible thanks to the introduction of a hafnium oxide (HfO2) layer between the silicon substrate and the vanadium oxide layer. Up to seven nearly identical VO2-based devices are contacted simultaneously to create a network of oscillators, paving the way for large-scale implementation of VO2 oscillating neural networks.","Tue, 5 Mar 2024 09:48:11 UTC (2,731 KB)"
"19","Intelligent Traffic Monitoring with Distributed Acoustic Sensing","Dongzi Xie, Xinming Wu, Zhixiang Guo, Heting Hong, Baoshan Wang, Yingjiao Rong","Geophysics (physics.geo-ph)","Distributed Acoustic Sensing (DAS) is promising for traffic monitoring, but its extensive data and sensitivity to vibrations, causing noise, pose computational challenges. To address this, we propose a two-step deep-learning workflow with high efficiency and noise immunity for DAS-based traffic monitoring, focusing on instance vehicle trajectory segmentation and velocity estimation. Our approach begins by generating a diverse synthetic DAS dataset with labeled vehicle signals, tackling the issue of missing training labels in this field. This dataset is used to train a Convolutional Neural Network (CNN) to detect linear vehicle trajectories from the noisy DAS data in the time-space domain. However, due to significant noise, these trajectories are often fragmented and incomplete. To enhance accuracy, we introduce a second step involving the Hough transform. This converts detected linear features into point-like energy clusters in the Hough domain. Another CNN is then employed to focus on these energies, identifying the most significant points. The inverse Hough transform is applied to these points to reconstruct complete, distinct, and noise-free linear vehicle trajectories in the time-space domain. The Hough transform plays a crucial role by enforcing a local linearity constraint on the trajectories, enhancing continuity and noise immunity, and facilitating the separation of individual trajectories and estimation of vehicle velocities (indicated by trajectory slopes in the Hough domain). Our method has shown effectiveness in real-world datasets, proving its value in real-time processing of DAS data and applicability in similar traffic monitoring scenarios. All related codes and data are available at this https URL.","Tue, 5 Mar 2024 09:06:20 UTC (33,233 KB)"
"20","A Zero-Shot Reinforcement Learning Strategy for Autonomous Guidewire Navigation","Valentina Scarponi (MIMESIS, ICube), Michel Duprez (ICube, MIMESIS), Florent Nageotte (ICube), Stéphane Cotin (ICube, MIMESIS)","Machine Learning (cs.LG)","Purpose: The treatment of cardiovascular diseases requires complex and challenging navigation of a guidewire and catheter. This often leads to lengthy interventions during which the patient and clinician are exposed to X-ray radiation. Deep Reinforcement Learning approaches have shown promise in learning this task and may be the key to automating catheter navigation during robotized interventions. Yet, existing training methods show limited capabilities at generalizing to unseen vascular anatomies, requiring to be retrained each time the geometry changes. Methods: In this paper, we propose a zero-shot learning strategy for three-dimensional autonomous endovascular navigation. Using a very small training set of branching patterns, our reinforcement learning algorithm is able to learn a control that can then be applied to unseen vascular anatomies without retraining. Results: We demonstrate our method on 4 different vascular systems, with an average success rate of 95% at reaching random targets on these anatomies. Our strategy is also computationally efficient, allowing the training of our controller to be performed in only 2 hours. Conclusion: Our training method proved its ability to navigate unseen geometries with different characteristics, thanks to a nearly shape-invariant observation space.","Tue, 5 Mar 2024 08:46:54 UTC (895 KB)"
"21","Fast, Scale-Adaptive, and Uncertainty-Aware Downscaling of Earth System Model Fields with Generative Foundation Models","Philipp Hess, Michael Aich, Baoxiang Pan, Niklas Boers","Atmospheric and Oceanic Physics (physics.ao-ph)","Accurate and high-resolution Earth system model (ESM) simulations are essential to assess the ecological and socio-economic impacts of anthropogenic climate change, but are computationally too expensive. Recent machine learning approaches have shown promising results in downscaling ESM simulations, outperforming state-of-the-art statistical approaches. However, existing methods require computationally costly retraining for each ESM and extrapolate poorly to climates unseen during training. We address these shortcomings by learning a consistency model (CM) that efficiently and accurately downscales arbitrary ESM simulations without retraining in a zero-shot manner. Our foundation model approach yields probabilistic downscaled fields at resolution only limited by the observational reference data. We show that the CM outperforms state-of-the-art diffusion models at a fraction of computational cost while maintaining high controllability on the downscaling task. Further, our method generalizes to climate states unseen during training without explicitly formulated physical constraints.","Tue, 5 Mar 2024 08:41:41 UTC (8,853 KB)"
"22","Speckle Noise Reduction in Ultrasound Images using Denoising Auto-encoder with Skip Connection","Suraj Bhute, Subhamoy Mandal, Debashree Guha","Image and Video Processing (eess.IV)","Ultrasound is a widely used medical tool for non-invasive diagnosis, but its images often contain speckle noise which can lower their resolution and contrast-to-noise ratio. This can make it more difficult to extract, recognize, and analyze features in the images, as well as impair the accuracy of computer-assisted diagnostic techniques and the ability of doctors to interpret the images. Reducing speckle noise, therefore, is a crucial step in the preprocessing of ultrasound images. Researchers have proposed several speckle reduction methods, but no single method takes all relevant factors into account. In this paper, we compare seven such methods: Median, Gaussian, Bilateral, Average, Weiner, Anisotropic and Denoising auto-encoder without and with skip connections in terms of their ability to preserve features and edges while effectively reducing noise. In an experimental study, a convolutional noise-removing auto-encoder with skip connection, a deep learning method, was used to improve ultrasound images of breast cancer. This method involved adding speckle noise at various levels. The results of the deep learning method were compared to those of traditional image enhancement methods, and it was found that the proposed method was more effective. To assess the performance of these algorithms, we use three established evaluation metrics and present both filtered images and statistical data.","Tue, 5 Mar 2024 08:08:59 UTC (4,143 KB)"
"23","Forecasting SEP Events During Solar Cycles 23 and 24 Using Interpretable Machine Learning","Spiridon Kasapis, Irina N. Kitiashvili, Paul Kosovich, Alexander G. Kosovichev, Viacheslav M. Sadykov, Patrick O'Keefe, Vincent Wang","Solar and Stellar Astrophysics (astro-ph.SR)","Prediction of the Solar Energetic Particle (SEP) events garner increasing interest as space missions extend beyond Earth's protective magnetosphere. These events, which are, in most cases, products of magnetic reconnection-driven processes during solar flares or fast coronal-mass-ejection-driven shock waves, pose significant radiation hazards to aviation, space-based electronics, and particularly, space exploration. In this work, we utilize the recently developed dataset that combines the Solar Dynamics Observatory/Helioseismic and Magnetic Imager's (SDO/HMI) Space weather HMI Active Region Patches (SHARP) and the Solar and Heliospheric Observatory/Michelson Doppler Imager's (SoHO/MDI) Space Weather MDI Active Region Patches (SMARP). We employ a suite of machine learning strategies, including Support Vector Machines (SVM) and regression models, to evaluate the predictive potential of this new data product for a forecast of post-solar flare SEP events. Our study indicates that despite the augmented volume of data, the prediction accuracy reaches 0.7 +- 0.1, which aligns with but does not exceed these published benchmarks. A linear SVM model with training and testing configurations that mimic an operational setting (positive-negative imbalance) reveals a slight increase (+ 0.04 +- 0.05) in the accuracy of a 14-hour SEP forecast compared to previous studies. This outcome emphasizes the imperative for more sophisticated, physics-informed models to better understand the underlying processes leading to SEP events.","Mon, 4 Mar 2024 23:12:17 UTC (1,578 KB)"
"24","Advancing Quantum Networking: Some Tools and Protocols for Ideal and Noisy Photonic Systems","Jason Saied, Jeffrey Marshall, Namit Anand, Shon Grabbe, Eleanor G. Rieffel","Quantum Physics (quant-ph)","Quantum networking at many scales will be critical to future quantum technologies and experiments on quantum systems. Photonic links enable quantum networking. They will connect co-located quantum processors to enable large-scale quantum computers, provide links between distant quantum computers to support distributed, delegated, and blind quantum computing, and will link distant nodes in space enabling new tests of fundamental physics. Here, we discuss recent work advancing photonic tools and protocols that support quantum networking. We provide analytical results and numerics for the effect of distinguishability errors on key photonic circuits; we considered a variety of error models and developed new metrics for benchmarking the quality of generated photonic states. We review a distillation protocol by one of the authors that mitigates distinguishability errors. We also review recent results by a subset of the authors on the efficient simulation of photonic circuits via approximation by coherent states. We study some interactions between the theory of universal sets, unitary t-designs, and photonics: while many of the results we state in this direction may be known to experts, we aim to bring them to the attention of the broader quantum information science community and to phrase them in ways that are more familiar to this community. We prove, translating a result from representation theory, that there are no non-universal infinite closed $2$-designs in $U(V)$ when $\dim V \geq 2$. As a consequence, we observe that linear optical unitaries form a $1$-design but not a 2-design. Finally, we apply a result of Oszmaniec and Zimborás to prove that augmenting the linear optical unitaries with any nontrivial SNAP gate is sufficient to achieve universality.","Mon, 4 Mar 2024 22:06:21 UTC (904 KB)"
