"","title","author","subject","abstract","meta"
"11","Postural adjustments preceding string release in trained archers","Andrian Kuch (PPRIME), Romain Tisserand (PPRIME), François Durand, Tony Monnet (PPRIME), Jean-François Debril","Quantitative Methods (q-bio.QM)","Optimal postural stability is required to perform in archery. Since the dynamic consequences of the string release may disturb the archer's postural equilibrium, they should have integrated them in their motor program to optimize postural stability. This study aimed to characterize the postural strategy archers use to limit the potentially detrimental impact of the bow release on their postural stability and identify characteristics that may explain a better performance. Six elite and seven sub-elite archers performed a series of 18 shots at 70 meters, standing on two force plates. Postural stability indicators were computed during the aiming and the shooting phase using the trajectory of the center of pressure. Two postural strategies were defined, as whether they were triggered before (early) or after (late) the string release time. Both groups used anticipated postural adjustments, but elite archers triggered them before the string release more often and sooner. Scores differed between the two groups, but no differences were found between early and late shots. Trained archers seem to have finely integrated the dynamic consequences of their bow motion, triggering anticipated postural adjustments prior to the string release. However, it remains unclear whether this anticipation can positively influence the performance outcome.","Wed, 14 Feb 2024 09:22:45 UTC (717 KB)"
"12","A novel molecule generative model of VAE combined with Transformer","Yasuhiro Yoshikai, Tadahaya Mizuno, Shumpei Nemoto, Hiroyuki Kusuhara","Biomolecules (q-bio.BM)","Recently, molecule generation using deep learning has been actively investigated in drug discovery. In this field, Transformer and VAE are widely used as powerful models, but they are rarely used in combination due to structural and performance mismatch of them. This study proposes a model that combines these two models through structural and parameter optimization in handling diverse molecules. The proposed model shows comparable performance to existing models in generating molecules, and showed by far superior performance in generating molecules with unseen structures. In addition, the proposed model successfully predicted molecular properties using the latent representation of VAE. Ablation studies suggested the advantage of VAE over other generative models like language model in generating novel molecules, and that the molecules can be described by ~32 dimensional variables, much smaller than existing descriptors and models. This study is expected to provide a virtual chemical library containing a wide variety of compounds for virtual screening and to enable efficient screening.","Mon, 19 Feb 2024 08:46:04 UTC (874 KB)"
"13","Re-Dock: Towards Flexible and Realistic Molecular Docking with Diffusion Bridge","Yufei Huang, Odin Zhang, Lirong Wu, Cheng Tan, Haitao Lin, Zhangyang Gao, Siyuan Li, Stan.Z. Li","Biomolecules (q-bio.BM)","Accurate prediction of protein-ligand binding structures, a task known as molecular docking is crucial for drug design but remains challenging. While deep learning has shown promise, existing methods often depend on holo-protein structures (docked, and not accessible in realistic tasks) or neglect pocket sidechain conformations, leading to limited practical utility and unrealistic conformation predictions. To fill these gaps, we introduce an under-explored task, named flexible docking to predict poses of ligand and pocket sidechains simultaneously and introduce Re-Dock, a novel diffusion bridge generative model extended to geometric manifolds. Specifically, we propose energy-to-geometry mapping inspired by the Newton-Euler equation to co-model the binding energy and conformations for reflecting the energy-constrained docking generative process. Comprehensive experiments on designed benchmark datasets including apo-dock and cross-dock demonstrate our model's superior effectiveness and efficiency over current methods.","Sun, 18 Feb 2024 05:04:50 UTC (8,401 KB)[v2] Wed, 21 Feb 2024 07:46:07 UTC (8,401 KB)"
"14","Extended generalized recurrence plot quantification of complex circular patterns","Maik Riedl, Norbert Marwan, Jürgen Kurths","Pattern Formation and Solitons (nlin.PS)","The generalized recurrence plot is a modern tool for quantification of complex spatial patterns. Its application spans the analysis of trabecular bone structures, Turing patterns, turbulent spatial plankton patterns, and fractals. Determinism is a central measure in this framework quantifying the level of regularity of spatial structures. We show by basic examples of fully regular patterns of different symmetries that this measure underestimates the orderliness of circular patterns resulting from rotational symmetries. We overcome this crucial problem by checking additional structural elements of the generalized recurrence plot which is demonstrated with the examples. Furthermore, we show the potential of the extended quantity of determinism applying it to more irregular circular patterns which are generated by the complex Ginzburg-Landau-equation and which can be often observed in real spatially extended dynamical systems. So, we are able to reconstruct the main separations of the system's parameter space analyzing single snapshots of the real part only, in contrast to the use of the original quantity. This ability of the proposed method promises also an improved description of other systems with complicated spatio-temporal dynamics typically occurring in fluid dynamics, climatology, biology, ecology, social sciences, etc.","Thu, 8 Feb 2024 12:18:42 UTC (4,586 KB)"
"15","Effect of the social environment on olfaction and social skills in WT and mouse model of autism","Caroline Gora (PRC), Ana Dudas (PRC), Lucas Court (PRC), Anil Annamneedi (PRC), Gaëlle Lefort (PRC), Thiago-Seike Picoreti-Nakahara (PRC), Nicolas Azzopardi (PRC), Adrien Acquistapace (PRC), Anne-Lyse Lainé (PRC, PRC), Anne-Charlotte Trouillet (PRC), Lucile Drobecq (PRC), Emmanuel Pecnard (PRC), Benoit Piegu (PRC, PRC), Pascale Crépieux (PRC, PRC), Pablo Chamero (PRC), Lucie P. Pellissier (PRC)","Neurons and Cognition (q-bio.NC)","Autism spectrum disorders are complex, polygenic and heterogenous neurodevelopmental conditions, imposing a substantial economic burden. Genetics are influenced by the environment, specifically the social experience during the critical neurodevelopmental period. Despite efficacy of early behavior interventions targeted specific behaviors in some autistic children, there is no sustainable treatment for the two core symptoms: deficits in social interaction and communication, and stereotyped or restrained behaviors or interests. In this study, we investigated the impact of the social environment on both wild-type (WT) and Shank3 knockout (KO) mice, a mouse model that reproduces core autism-like symptoms. Our findings revealed that WT mice raised in an enriched social environment maintained social interest towards new conspecifics across multiple trials. Additionally, we observed that 2 hours or chronic social isolation induced social deficits or enhanced social interaction and olfactory neuron responses in WT animals, respectively. Notably, chronic social isolation restored both social novelty and olfactory deficits, and normalized self-grooming behavior in Shank3 KO mice. These results novel insights for the implementation of behavioral intervention and inclusive classrooms programs for children with ASD.","Wed, 29 Nov 2023 16:46:15 UTC (34,454 KB)"
"16","A general mechanism for enhancer-insulator pairing reveals heterogeneous dynamics in long-distant 3D gene regulation","Lucas Hedström, Ralf Metzler, Ludvig Lizana","Molecular Networks (q-bio.MN)","Cells regulate fates and complex body plans using spatiotemporal signaling cascades that alter gene expression. Enhancers, short DNA sequences (50-150 base pairs), help coordinate these cascades by attracting regulatory proteins to enhance the transcription of distal genes by binding to promoters. In humans, there are hundreds of thousands of enhancers dispersed across the genome, which poses a challenging coordination task to prevent unintended gene activation. To mitigate this problem, the genome contains additional DNA elements, insulators, that block enhancer-promoter interactions. However, there is an open problem with how the insulation works, especially as enhancer-insulator pairs may be separated by millions of base pairs. Based on recent empirical data from Hi-C experiments, this paper proposes a new mechanism that challenges the common paradigm that rests on specific insulator-insulator interactions. Instead, this paper introduces a stochastic looping model where enhancers bind weakly to surrounding chromatin. After calibrating the model to experimental data, we use simulations to study the broad distribution of hitting times between an enhancer and a promoter when there are blocking insulators. In some cases, there is a large difference between average and most probable hitting times, making it difficult to assign a typical time scale, hinting at highly defocused regulation times. We also map our computational model onto a resetting problem that allows us to derive several analytical results. Besides offering new insights into enhancer-insulator interactions, our paper advances the understanding of gene regulatory networks and causal connections between genome folding and gene activation.","Wed, 14 Feb 2024 14:43:59 UTC (301 KB)"
"17","Cosmic radiation drives quasi-periodic changes in the diversity of siliceous marine microplankton","Péter Ozsvárt, Emma Kun","Populations and Evolution (q-bio.PE)","Radiolarians are significant contributors to the oceanic primary productivity and the global silica cycle in the last 500 Myr. Their diversity throughout the Phanerozoic shows periodic fluctuations. We identify a possible abiotic candidate for driving these patterns which seems to potentially influence radiolarian diversity changes during this period at a significance level of $\sim 2.2 \sigma$. Our finding suggests a significant correlation between the origination of new radiolaria species and maximum excursions of the Solar system from the Galactic plane, where the magnetic shielding of cosmic rays is expected to be weaker. We connect the particularly strong radiolaria blooming during the Middle Triassic to the so-called Mesozoic dipole-low of the geomagnetic field, which was in its deepest state when radiolarias were blooming. According to the scenario, high-energy cosmic rays presumably implied particular damage to the DNA during the maximum excursions which may trigger large chromosomal abnormalities leading to the appearance of a large number of new genera and species during these periods.","Wed, 14 Feb 2024 13:27:31 UTC (9,825 KB)"
"18","Preserving system activity while controlling epidemic spreading in adaptive temporal networks","Marco Mancastroppa, Alessandro Vezzani, Vittoria Colizza, Raffaella Burioni","Physics and Society (physics.soc-ph)","Human behaviour strongly influences the spread of infectious diseases: understanding the interplay between epidemic dynamics and adaptive behaviours is essential to improve response strategies to epidemics, with the goal of containing the epidemic while preserving a sufficient level of operativeness in the population. Through activity-driven temporal networks, we formulate a general framework which models a wide range of adaptive behaviours and mitigation strategies, observed in real populations. We analytically derive the conditions for a widespread diffusion of epidemics in the presence of arbitrary adaptive behaviours, highlighting the crucial role of correlations between agents behaviour in the infected and in the susceptible state. We focus on the effects of sick-leave, comparing the effectiveness of different strategies in reducing the impact of the epidemic and preserving the system operativeness. We show the critical relevance of heterogeneity in individual behavior: in homogeneous networks, all sick-leave strategies are equivalent and poorly effective, while in heterogeneous networks, strategies targeting the most vulnerable nodes are able to effectively mitigate the epidemic, also avoiding a deterioration in system activity and maintaining a low level of absenteeism. Interestingly, with targeted strategies both the minimum of population activity and the maximum of absenteeism anticipate the infection peak, which is effectively flattened and delayed, so that full operativeness is almost restored when the infection peak arrives. We also provide realistic estimates of the model parameters for influenza-like illness, thereby suggesting strategies for managing epidemics and absenteeism in realistic populations.","Wed, 14 Feb 2024 10:39:16 UTC (980 KB)"
"19","Using quantum annealing to design lattice proteins","Anders Irbäck, Lucas Knuthson, Sandipan Mohanty, Carsten Peterson","Quantum Physics (quant-ph)","Quantum annealing has shown promise for finding solutions to difficult optimization problems, including protein folding. Recently, we used the D-Wave Advantage quantum annealer to explore the folding problem in a coarse-grained lattice model, the HP model, in which amino acids are classified into two broad groups: hydrophobic (H) and polar (P). Using a set of 22 HP sequences with up to 64 amino acids, we demonstrated the fast and consistent identification of the correct HP model ground states using the D-Wave hybrid quantum-classical solver. An equally relevant biophysical challenge, called the protein design problem, is the inverse of the above, where the task is to predict protein sequences that fold to a given structure. Here, we approach the design problem by a two-step procedure, implemented and executed on a D-Wave machine. In the first step, we perform a pure sequence-space search by varying the type of amino acid at each sequence position, and seek sequences which minimize the HP-model energy of the target structure. After mapping this task onto an Ising spin glass representation, we employ a hybrid quantum-classical solver to deliver energy-optimal sequences for structures with 30-64 amino acids, with a 100% success rate. In the second step, we filter the optimized sequences from the first step according to their ability to fold to the intended structure. In addition, we try solving the sequence optimization problem using only the QPU, which confines us to sizes $\le$20, due to exponentially decreasing success rates. To shed light on the pure QPU results, we investigate the effects of control errors caused by an imperfect implementation of the intended Hamiltonian on the QPU, by numerically analyzing the Schrödinger equation. We find that the simulated success rates in the presence of control noise semi-quantitatively reproduce the modest pure QPU results for larger chains.","Wed, 14 Feb 2024 10:28:43 UTC (83 KB)"
"20","Biophysical Fluid Dynamics in a Petri Dish","George T. Fortune, Eric Lauga, Raymond E. Goldstein","Soft Condensed Matter (cond-mat.soft)","The humble Petri dish is perhaps the simplest setting in which to examine the locomotion of swimming organisms, particularly those whose body size is tens of microns to millimetres. The fluid layer in such a container has a bottom no-slip surface and a stress-free upper boundary. It is of fundamental interest to understand the flow fields produced by the elementary and composite singularities of Stokes flow in this geometry. Building on the few particular cases that have previously been considered in the literature, we study here the image systems for the primary singularities of Stokes flow subject to such boundary conditions - the stokeslet, rotlet, source, rotlet dipole, source dipole and stresslet - paying particular attention to the far-field behavior. In several key situations, the depth-averaged fluid flow is accurately captured by the solution of an associated Brinkman equation whose screening length is proportional to the depth of the fluid layer. The case of hydrodynamic bound states formed by spinning microswimmers near a no-slip surface, discovered first using the alga $Volvox$, is reconsidered in the geometry of a Petri dish, where the power-law attractive interaction between microswimmers acquires unusual exponentially screened oscillations.","Tue, 13 Feb 2024 11:11:04 UTC (4,817 KB)"
"21","Persistence diagrams for exploring the shape variability of abdominal aortic aneurysms","Dario Arnaldo Domanin, Matteo Pegoraro, Santi Trimarchi, Maurizio Domanin, Piercesare Secchi","Medical Physics (physics.med-ph)","Abdominal Aortic Aneurysm consists of a permanent dilation in the abodminal portion of the aorta and, along with its associated pathologies like calcifications and intraluminal thrombi, is one of the most important pathologies of the circulatory system. The shape of the aorta is among the primary drivers for these health issues, with particular reference to all the characteristics which affects the hemodynamics. Starting from the computed tomography angiography of a patient, we propose to summarize such information using tools derived from Topological Data Analysis, obtaining persistence diagrams which describe the irregularities of the lumen of the aorta. We showcase the effectiveness of such shape-related descriptors with a series of supervised and unsupervised case studies.","Mon, 12 Feb 2024 14:02:05 UTC (29,447 KB)"
"22","Investigation of the track structure of therapeutic carbon ion radiation at HIT using the PTB ion counting nanodosimeter. Part 1: Ionization cluster size distributions along the pristine Bragg peak of a 3.5 GeV carbon ion beam","Gerhard Hilgers, Miriam Schwarze, Hans Rabus","Medical Physics (physics.med-ph)","At the Heidelberg Ion-Beam Therapy Center (HIT), the track structure of carbon ions of therapeutic energy after penetrating layers of simulated tissue was investigated for the first time. Measurements were conducted with a primary beam energy of 3.5 GeV and polymethyl methacrylate (PMMA) absorbers of different thickness to realize different depths in the phantom along the pristine Bragg peak. Ionization cluster size (ICS) distributions resulting from the mixed radiation field behind the PMMA absorbers were measured using the PTB ion counting nanodosimeter. The data analysis revealed unexpectedly high mean ICS values compared to the stopping power calculations using the SRIM code and the data measured at lower energies within the BioQuaRT project. Subsequently, Geant4 simulations of the experimental setup were performed to characterize the composition of the mixed radiation field. The results indicate the potential presence of a marked contribution of nuclear fragments to the measured ICS distributions, especially at nonzero impact parameters.","Mon, 12 Feb 2024 11:24:35 UTC (2,697 KB)"
"23","Learning protein-ligand unbinding pathways via single-parameter community detection","Victor Tänzel, Miriam Jäger, Steffen Wolf","Computational Physics (physics.comp-ph)","Understanding the dynamics of biomolecular complexes, e.g., of protein-ligand (un)binding, requires the understanding of paths such systems take between metastable states. In MD simulation data, paths are usually not observable per se, but need to be inferred from simulation trajectories. Here we present a novel approach to cluster trajectories based on a community detection algorithm that requires the definition of only a single free parameter. Using the streptavidin-biotin complex as benchmark system and the A2a adenosine receptor in complex with the inhibitor ZM241385 as an elaborate application, we demonstrate how such clusters of trajectories correspond to pathways, and how the approach help in the identification of reaction coordinates for a considered (un)binding process.","Sun, 11 Feb 2024 04:59:52 UTC (20,521 KB)"
"24","Source-sink dynamics in a two-patch SI epidemic model with life stages and no recovery from infection","Jimmy Calvo-Monge, Jorge Arroyo-Esquivel, Alyssa Gehman, Fabio Sanchez","Populations and Evolution (q-bio.PE)","This study presents a comprehensive analysis of a two-patch, two-life stage SI model without recovery from infection, focusing on the dynamics of disease spread and host population viability in natural populations. The model, inspired by real-world ecological crises like the decline of amphibian populations due to chytridiomycosis and sea star populations due to Sea Star Wasting Disease, aims to understand the conditions under which a sink host population can present ecological rescue from a healthier, source population. Mathematical and numerical analyses reveal the critical roles of the basic reproductive numbers of the source and sink populations, the maturation rate, and the dispersal rate of juveniles in determining population outcomes. The study identifies conditions for disease-free, endemic, and extinction equilibria in sink populations, emphasizing the potential for ecological and evolutionary mechanisms to facilitate coexistence or recovery. These findings provide insights into managing natural populations affected by disease, with implications for conservation strategies, such as the importance of maintaining reproductively viable refuge populations and considering the effects of dispersal and maturation rates on population recovery. The research underscores the complexity of host-pathogen dynamics in spatially structured environments and highlights the need for multi-faceted approaches to biodiversity conservation in the face of emerging diseases.","Fri, 9 Feb 2024 20:51:15 UTC (1,036 KB)"
"25","Can machine learning predict citizen-reported angler behavior?","Julia S. Schmid (1), Sean Simmons (2), Mark A. Lewis (1 and 3), Mark S. Poesch (1), Pouria Ramazi (4) ((1) University of Alberta, (2) Angler's Atlas, (3) University of Victoria, (4) Brock University)","Physics and Society (physics.soc-ph)","Prediction of angler behaviors, such as catch rates and angler pressure, is essential to maintaining fish populations and ensuring angler satisfaction. Angler behavior can partly be tracked by online platforms and mobile phone applications that provide fishing activities reported by recreational anglers. Moreover, angler behavior is known to be driven by local site attributes. Here, the prediction of citizen-reported angler behavior was investigated by machine-learning methods using auxiliary data on the environment, socioeconomics, fisheries management objectives, and events at a freshwater body. The goal was to determine whether auxiliary data alone could predict the reported behavior. Different spatial and temporal extents and temporal resolutions were considered. Accuracy scores averaged 88% for monthly predictions at single water bodies and 86% for spatial predictions on a day in a specific region across Canada. At other resolutions and scales, the models only achieved low prediction accuracy of around 60%. The study represents a first attempt at predicting angler behavior in time and space at a large scale and establishes a foundation for potential future expansions in various directions.","Wed, 7 Feb 2024 19:56:35 UTC (1,905 KB)"
"26","Microscopic models for the large-scale spread of SARS-CoV-2 virus: A Statistical Mechanics approach","Marzia Bisi, Silvia Lorenzani","Populations and Evolution (q-bio.PE)","In this work, we derive a system of Boltzmann-type equations to describe the spread of SARS-CoV-2 virus at the microscopic scale, that is by modeling the human-to-human mechanisms of transmission. To this end, we consider two populations, characterized by specific distribution functions, made up of individuals without symptoms (population $1$) and infected people with symptoms (population $2$). The Boltzmann operators model the interactions between individuals within the same population and among different populations with a probability of transition from one to the other due to contagion or, vice versa, to recovery. In addition, the influence of innate and adaptive immune systems is taken into account. Then, starting from the Boltzmann microscopic description we derive a set of evolution equations for the size and mean state of each population considered. Mathematical properties of such macroscopic equations, as equilibria and their stability, are investigated and some numerical simulations are performed in order to analyze the ability of our model to reproduce the characteristic features of Covid-19.","Thu, 8 Feb 2024 17:06:17 UTC (152 KB)"
